String,Authors,Year,Title,Book,Series,Publisher,City,Volume,Issue,Pagination,DOI,,
"Slabber, M. (1778). Natuurkundige Verlustigingen, behelzende microscopise Waarnemingen van in - en utilandse Water - en Land-Dieren. <em>J. Bosch, Haarlem.</em> 166 pp, 18 pls.","Slabber, M.",1778,"Natuurkundige Verlustigingen, behelzende microscopise Waarnemingen van in - en utilandse Water - en Land-Dieren",,"J. Bosch, Haarlem",,,,,"166 pp, 18 pls",10.5962/bhl.title.47657,,
"Roth, A.W. (1797). Catalecta Botanica (Quibus plantae novae et minus cognitae describuntur atque illustrantur). Fasc. 1. Lipseae., 244 pp., 8 pls.","Roth, A.W.",1797,Catalecta Botanica (Quibus plantae novae et minus cognitae describuntur atque illustrantur). Fasc. 1,,Lipseae.,,,,,"244 pp., 8 pls.",,,
"Rudolphi, C. A. (1802). Fortsetzung der beobachtungen ber die Eingerweidewurmer. <em>Archiv fuer Zoologie und Zootomie.</em> 3: 61-125.","Rudolphi, C. A.",1802,Fortsetzung der beobachtungen ber die Eingerweidewurmer,,Archiv fuer Zoologie und Zootomie,,,3,,61-125,,,
"Rudolphi, K. A. (1803). Neue Beobachtungen über die Eingeweidewürmer. <em>Archiv für Zoologie und Zootomie.</em> 3(1): 1-32.","Rudolphi, K. A.",1803,Neue Beobachtungen über die Eingeweidewürmer.,,Archiv für Zoologie und Zootomie,,,3,1,1-32,,,
"Lamouroux, J.V.F. (1809). Observations sur la physiologie des algues marines, et description de cinq nouveaux genres de cette famille. <em>Nouveau Bulletin des Sciences, par la Société Philomathique de Paris.</em> 1(20): 330-333.","Lamouroux, J.V.F.",1809,"Observations sur la physiologie des algues marines, et description de cinq nouveaux genres de cette famille.",,"Nouveau Bulletin des Sciences, par la Société Philomathique de Paris",,,1,20,330-333,,,
"Agardh, C.A. (1817). Synopsis Algarum Scandinaviae adjecta dispositione universali Algarum. <em>Lundae, Ex Officina Berlingiana.</em> xl + 135 pp.","Agardh, C.A.",1817,Synopsis Algarum Scandinaviae adjecta dispositione universali Algarum,,"Lundae, Ex Officina Berlingiana.",,,,,xl + 135 pp.,,,
"Boie, S. (1822). Ornithologische Beyträge. <em>Isis von Oken.</em> 3: 768-781; 871-886.","Boie, S.",1822,Ornithologische Beyträge.,,Isis von Oken,,,3,,768-781; 871-886,,,
"Nordmann, A. von. (1832). Mikrographische Beiträge zur Naturgeschichte der wirbellosen Thiere. <em>Zweites Heft. Mit zehn Kupfertafeln, G. Reimer,  Berlin.</em> XVIII:1-150, plates I-X.","Nordmann, A. von",1832,Mikrographische Beiträge zur Naturgeschichte der wirbellosen Thiere.,,"Zweites Heft. Mit zehn Kupfertafeln, G. Reimer,  Berlin.",,,XVIII,,"150, plates I-X",,,
Gray J.E. (1834). Note on the conveyance from the Mauritius of 2 living specimens of <i>Cerithium armatum</i>. <em>Proceedings of the Zoological Society of London.</em> 2: 22.,Gray J.E.,1834,Note on the conveyance from the Mauritius of 2 living specimens of <i>Cerithium armatum</i>,,Proceedings of the Zoological Society of London,,,2,,22,,,
"Haliday, A.H. (1837). Notes about <i>Cillenum laterale</i> and a submarine species of Aleocharidae. <em>Entomol. Mag.</em> 4: 251-253.","Haliday, A.H.",1837,Notes about <i>Cillenum laterale</i> and a submarine species of Aleocharidae.,,Entomol. Mag.,,,4,,251-253,,,
"Krøyer, H. (1841). Udsigt over de nordiske arter af slaegten Hippolyte. <em>Naturhistorisk Tidsskrift Ser. II.</em> 3(6): 570-579.","Krøyer, H.",1841,Udsigt over de nordiske arter af slaegten Hippolyte,,Naturhistorisk Tidsskrift Ser. II,,,3,6,570-579,,,
"Couch, R.Q. (1842). Observations on the sponges of Cornwall. <em>A. Rep. R. Cornwall polytech. Soc.</em> 10(2): 41-62.","Couch, R.Q",1842,Observations on the sponges of Cornwall,,A. Rep. R. Cornwall polytech. Soc,,,10,2,41-62,,,
"Wood, S. V. (1844). III.—Descriptive Catalogue of the Zoophytes from the Crag. <em>Annals and Magazine of Natural History.</em> 13(81): 10-21.","Wood, S. V.",1844,III.—Descriptive Catalogue of the Zoophytes from the Crag,,Annals and Magazine of Natural History,,,13,81,10-21,10.1080/03745484409442561,,
"Vogt, C. (1845). Beiträge zur Naturgeschichte der Schweizerischen Crustaceen. Neue Denkschriften der Allg. schweizerischen Gesellschaft fur die Gesammten Naturwissenschaften, Nouveaux Memoires de la Societe Helvetique des Sciences Naturelles 7(1):1-19, pls. 1-2.","Vogt, C.",1845,Beiträge zur Naturgeschichte der Schweizerischen Crustaceen.,,"Neue Denkschriften der Allg. schweizerischen Gesellschaft fur die Gesammten Naturwissenschaften, Nouveaux Memoires de la Societe Helvetique des Sciences Naturelles",,,7,1,"1-19, pls. 1-2",,,
"Düben, M.W. von; Koren, J. (1846). Öfversigt af Skandinaviens Echinodermer [Overview of Scandinavian Echinodermata]. <em>Kungl. Svenska Vetenskapsakademiens Handlingar 1844.</em> 229-328, plates VI-XI.","Düben, M.W. von; Koren, J.",1846,Öfversigt af Skandinaviens Echinodermer [Overview of Scandinavian Echinodermata],,Kungl. Svenska Vetenskapsakademiens Handlingar 1844,,,1844,,"229-328, plates VI-XI",,,
"Beneden, P.J. van. (1846). Mémoire sur l'embryogénie, l'anatomie et la physiologie des Ascidies simples. <em>Bull. Acad. R. Sci. Lett. B.-Arts Belg.</em> 13(2): (1-11).","Beneden, P.J. van",1846,"Mémoire sur l'embryogénie, l'anatomie et la physiologie des Ascidies simples",,Bull. Acad. R. Sci. Lett. B.-Arts Belg.,,,13,2,(1-11),,,
"Kützing, F.T. (1849). Species Algarum. F. A. Brockhaus: Lipsiae (Leipzig). VI-922 pp.","Kützing, F.T.",1849,Species Algarum.,,,F. A. Brockhaus,Lipsiae (Leipzig),,,VI-922,10.5962/bhl.title.60464,,
"Dana, J.D. (1850). Synopsis generum crustaceorum ordinis ""Schizopoda"". -. <em>American Journal of Science and Arts.</em> 9: 129-133.","Dana, J.D.",1850,"Synopsis generum crustaceorum ordinis ""Schizopoda"". -",,American Journal of Science and Arts,,,9,,129-133,,,
"Hardy, J.; Bold, T.J. (1851). A catalogue of the insects of Northumberland and Durham (Part ii). <em>Transactions of the Tyneside Naturalists' Field Club.</em> 2(1): 21-97.","Hardy, J.; Bold, T.J.",1851,A catalogue of the insects of Northumberland and Durham (Part ii).,,Transactions of the Tyneside Naturalists' Field Club,,,2,1,21-97,,,
"Beneden, P.J. van. (1852). Anatomie comparée. <em>Encyclopédie populaire. Bruxelles. Societe pour l'Emancipation Intellectuelee.</em> 348 pp., 340 figs.","Beneden, P.J. van",1852,Anatomie comparée.,,Encyclopédie populaire. Bruxelles. Societe pour l'Emancipation Intellectuelee,,,,,"348 pp., 340 figs.",,,
