String,Authors,Year,Title,bookTitle,SeriesTitle,publishers,City,Volume,Issue,Pagination
"<b>Mertens, I.</b> (1988). Fish processing unit. Ir Thesis. Katholieke Industriële Hogeschool West-Vlaanderen: Oostende. [167] pp.","Mertens, I.",1988,Fish processing unit,,,Katholieke Industriële Hogeschool West-Vlaanderen,Oostende,,,[167]
"Data report. Institute of Oceanography, University of British Columbia. Institute of Oceanography, University of British Columbia: Vancouver, B.C..  ISSN 0068-1830",,,"Data report. Institute of Oceanography, University of British Columbia",,,"Institute of Oceanography, University of British Columbia","Vancouver, B.C.",,,
"<b>Burggraeve, G.</b> [s.d.]. Het Zwin natuurreservaat [VIDEO]. Vapaco Film: Belgium.  1 video, (58 min.) pp.","Burggraeve, G.",,Het Zwin natuurreservaat [VIDEO],,,Vapaco Film,Belgium,,,"1 video, (58 min.)"
"<b>Cottenie, A.H.</b> (1984). Onderzoek in het Laboratorium voor Analytische en Agrochemie van de Faculteit Landbouwwetenschappen. <i>Biol. Jb. Dodonaea 52</i>: 8-9","Cottenie, A.H.",1984,Onderzoek in het Laboratorium voor Analytische en Agrochemie van de Faculteit Landbouwwetenschappen,,Biologisch Jaarboek (Dodonaea),,,52,,8-9
"<b>Conand, C.; Polidoro, B.; Mercier, A.; Gamboa, R.; Hamel, J.-F.; Purcell, S.W.</b> (2014). The IUCN red list assessment of aspidochirotid sea cucumbers and its implications. <i>SPC Beche-de-mer Information Bulletin 34</i>: 3-7","Conand, C.; Polidoro, B.; Mercier, A.; Gamboa, R.; Hamel, J.-F.; Purcell, S.W.",2014,The IUCN red list assessment of aspidochirotid sea cucumbers and its implications,,SPC Beche-de-mer Information Bulletin,,,34,,3-7
"<b>Falise, J.P.</b> (1991). Hoe interessant is Brixham? (1). <i>De Plate 20(12)</i>: 344","Falise, J.P.",1991,Hoe interessant is Brixham? (1),,"De Plate: Tijdschrift Heemkundige Kring ""De Plate""",,,20,12,344
"<b>Arvy, L.; Heuvelmans, B.</b> (1979). Les Cétacés du ""Vis booc"" (1577-1578) d'Adrien Coenensoen Van Schilperoort (1514-?). <i>Rev. hist. sci. XXXII(4)</i>: 333-338","Arvy, L.; Heuvelmans, B.",1979,"Les Cétacés du ""Vis booc"" (1577-1578) d'Adrien Coenensoen Van Schilperoort (1514-?)",,Revue d'histoire des sciences,,,XXXII,4,333-338
"<b>Janssen, P.</b> (1960). Nos ports jadis et naguere: grandeur et decadence. Mythes et legendes de la mer. Les mutiples acitivtes d'un grand port. Perspectives d'avernir. Esso Belgium: [s.l.].  53 pp.","Janssen, P.",1960,Nos ports jadis et naguere: grandeur et decadence. Mythes et legendes de la mer. Les mutiples acitivtes d'un grand port. Perspectives d'avernir,,,Esso Belgium,,,,53
"<b>Elskens, Y.; Janssen, D.</b> (1971). Dosages nitrate et nitrite. <i>Technical Reports I.C.W.B. - C.I.P.S.</i>, 1971/SCHELDT:CHIMIE.02. V.U.B.: Brussel.  2 pp.","Elskens, Y.; Janssen, D.",1971,Dosages nitrate et nitrite,,Technical Reports I.C.W.B. - C.I.P.S.,V.U.B.,Brussel,1971/SCHELDT:CHIMIE.02,,2
"<b>Tobin, M.L.; Scott, G.W.; Ducrotoy, J.-P.</b> (1998). Applications of a functional group approach to algal community ecology, <b><i>in</i></b>: Scott, G.W. <i>et al.</i> (Ed.) <i>Changes in the marine flora of the North Sea.</i> pp. 135-147","Tobin, M.L.; Scott, G.W.; Ducrotoy, J.-P.",1998,Applications of a functional group approach to algal community ecology,Changes in the marine flora of the North Sea,,,,,,135-147
"<b>Bijlsma, R.G.; Blomert, A.-M.; van Manen, W.; Quist, M.</b> (1993). Ecologische atlas van de Nederlandse roofvogels. Schuyt & Co: Haarlem. ISBN 90-6097-348-8. 350 pp.","Bijlsma, R.G.; Blomert, A.-M.; van Manen, W.; Quist, M.",1993,Ecologische atlas van de Nederlandse roofvogels,,,Schuyt &amp; Co,Haarlem,,,350
"<b>Stegenga, H.; Mol, I.; Prud'homme van Reine, W.F.; Lokhorst, G.M.</b> (1997). Checklist of the marine algae of the Netherlands. <i>Gorteria Suppl. 4</i>: 1-60","Stegenga, H.; Mol, I.; Prud'homme van Reine, W.F.; Lokhorst, G.M.",1997,Checklist of the marine algae of the Netherlands,,Gorteria (Leiden),,,Suppl. 4,,1-60
