String,Authors,Year,Title,bookTitle,SeriesTitle,publishers,City,Volume,Issue,Pagination
"<b>Guennoc, P.; Galtier, L.</b> (2000). EU-SEASED : a searchable internet database of seabed samples held at European institutions, <b><i>in</i></b>: Trentesaux, A. <i>et al.</i> <i>Marine Sandwave Dynamics, International Workshop, March 23-24 2000, University of Lille 1, France. Proceedings.</i>","Guennoc, P.; Galtier, L.",2000,EU-SEASED : a searchable internet database of seabed samples held at European institutions,"Marine Sandwave Dynamics, International Workshop, March 23-24 2000, University of Lille 1, France. Proceedings",,,,,,
"(1989-2001). De chemische kwaliteit van baggerspecie in de Westerschelde en in de Zeeschelde, 11. Vlaamse Milieumaatschappij (VMM): Erembodegem.",,1989,"De chemische kwaliteit van baggerspecie in de Westerschelde en in de Zeeschelde, 11",,,Vlaamse Milieumaatschappij (VMM),Erembodegem,,,
"<b>Vandendriessche, S.</b> (2008). Leven op een vlot van drijvend zeewier, <b><i>in</i></b>: <i>De Grote Rede 21. De Grote Rede: Nieuws over onze Kust en Zee,</i> 21: pp. 7-9","Vandendriessche, S.",2008,Leven op een vlot van drijvend zeewier,De Grote Rede 21,De Grote Rede: Nieuws over onze Kust en Zee,,,21,,7-9
"<b>Parr, J.; Hiscock, K.; Lear, D.</b> (2004). UK seabed biology datasets access programme. Scoping study and infrastructure  development. Marine Biological Association: Plymouth.  29 + appendices pp.","Parr, J.; Hiscock, K.; Lear, D.",2004,UK seabed biology datasets access programme. Scoping study and infrastructure  development,,,Marine Biological Association,Plymouth,,,29 + appendices
"<b>ICES</b> (2012). Report of the ICES Advisory Committee 2012: Baltic Sea. <i>ICES Advice</i>, Book 8. ICES: Copenhagen.  158 pp.",ICES,2012,Report of the ICES Advisory Committee 2012: Baltic Sea,,ICES Advice,ICES,Copenhagen,Book 8,,158
<b>ministerie vlaamse gemeenschap; TIJDELIJKE VERENIGING NV HYE / GHENT DREDGING</b> [s.d.]. FYSICO-CHEMISCHE BEHANDELING VAN BAGGERSLIB; PILOOTSCHAALONDERZOEK; PROEFSTORT GEUZENHOEK. [S.n.]: [s.l.].,ministerie vlaamse gemeenschap; TIJDELIJKE VERENIGING NV HYE / GHENT DREDGING,,FYSICO-CHEMISCHE BEHANDELING VAN BAGGERSLIB; PILOOTSCHAALONDERZOEK; PROEFSTORT GEUZENHOEK,,,,,,,
"<b>Waterloopkundig Laboratorium | WL</b> [s.d.]. Duwvaartsluizen : rapporten modelonderzoek M838, 6. [S.n.]: [s.l.].  6 rapporten pp.",Waterloopkundig Laboratorium | WL,,"Duwvaartsluizen : rapporten modelonderzoek M838, 6",,,,,,,6 rapporten
"<b>Engelberts, A.; Van Avesaath, P.H.; Hummel, H.</b> (2009). Duurzame Schelpentransport Najaar 2009 Datarapport. <i>Monitor Taskforce Publication Series</i>, 2009-12. NIOO-CEME: Yerseke.","Engelberts, A.; Van Avesaath, P.H.; Hummel, H.",2009,Duurzame Schelpentransport Najaar 2009 Datarapport,,Monitor Taskforce Publication Series,NIOO-CEME,Yerseke,2009-12,,
Irish Journal of Psychological Medicine. CAMBRIDGE UNIV PRESS: Cambridge.  ISSN 0790-9667,,0,Irish Journal of Psychological Medicine,,,CAMBRIDGE UNIV PRESS,Cambridge,,,
"<b>Van Isacker, K.</b> (1963). De Antwerpse dokwerker 1830-1940. De Nederlandsche Boekhandel: Antwerpen.  243 pp.","Van Isacker, K.",1963,De Antwerpse dokwerker 1830-1940,,,De Nederlandsche Boekhandel,Antwerpen,,,243
(1948). <i>Verruca strömia</i> Müll. <i>Het Zeepaard 8(9-10)</i>: 87-88,,1948,<i>Verruca strömia</i> Müll.,,Het Zeepaard,,,8,9-10,87-88
"<b>Clerinx, H.; Merckx, J.P.; Schurmans, I. (Ed.)</b> (1993). Vlaamse Havencommissie. Jaarverslag 1992. SERV: Brussel.  143 + bijlage pp.","Clerinx, H.; Merckx, J.P.; Schurmans, I. (Ed.)",1993,Vlaamse Havencommissie. Jaarverslag 1992,,,SERV,Brussel,,,143 + bijlage
"<b>De Hemptinne, T.</b> (1982). Vlaanderen en Henegouwen onder de erfgenamen van de Boudewijns 1070-1244, <b><i>in</i></b>: Blok, D.P. (Ed.) <i>Algemene Geschiedenis der Nederlanden 2. Algemene Geschiedenis der Nederlanden,</i> 2: pp. 372-398","De Hemptinne, T.",1982,Vlaanderen en Henegouwen onder de erfgenamen van de Boudewijns 1070-1244,Algemene Geschiedenis der Nederlanden 2,Algemene Geschiedenis der Nederlanden,,,,,372-398
"<b>de Beaucourt de Noortvelde, R.</b> (1898). Notre-Dame de Breedene (O.L.V. kapelletje) in de Duinen: genèse de la Chapelle, Chapelle primitive, chapelle actuelle, pèlerinage. [S.n.]: Oostende.  211-212 pp.","de Beaucourt de Noortvelde, R.",1898,"Notre-Dame de Breedene (O.L.V. kapelletje) in de Duinen: genèse de la Chapelle, Chapelle primitive, chapelle actuelle, pèlerinage",,,,Oostende,,,211-212
"<b>Berger, V.I.; Singer, D.A.; Bliss, J.D.; Moring, B.C.</b> (2011). Ni-Co laterite deposits of the world-database and grade and tonnage models. U.S. Geological Survey: Reston, Virginia.  26 pp.","Berger, V.I.; Singer, D.A.; Bliss, J.D.; Moring, B.C.",2011,Ni-Co laterite deposits of the world-database and grade and tonnage models,,,U.S. Geological Survey,"Reston, Virginia",,,26
"<b>Janßen, H.; Hiller, A.</b> (2012). Transnational mapping of coastal and maritime uses and functions: towards a maritime spatial typology, <b><i>in</i></b>: Belpaeme, K. <i>et al.</i> (Ed.) <i>Book of Abstracts. International Conference Littoral 2012: Coasts of Tomorrow. Kursaal, Oostende, 27-29 November 2012. VLIZ Special Publication,</i> 61: pp. 40","Janßen, H.; Hiller, A.",2012,Transnational mapping of coastal and maritime uses and functions: towards a maritime spatial typology,"Book of Abstracts. International Conference Littoral 2012: Coasts of Tomorrow. Kursaal, Oostende, 27-29 November 2012",VLIZ Special Publication,,,,,40
"<b>UNESCO/WMO/IAEA</b> (2006). The state of the resource, <b><i>in</i></b>: UNESCO <i>Water: a shared responsibility. UN World Water Development Report,</i> 2: pp. 118-156",UNESCO/WMO/IAEA,2006,The state of the resource,Water: a shared responsibility,UN World Water Development Report,,,,,118-156
"<b>El-Hacen, E.-H.M.; Overdijk, O.; Lok, T.; Olff, H.; Piersma, T.</b> (2013). Home Range, Habitat Selection, and Foraging Rhythm in Mauritanian Spoonbills (<i>Platalea leucorodia balsaci</i>): A Satellite Tracking Study. <i>Waterbirds (De Leon Springs Fla.) 36(3)</i>: 277-286. <a href=""http://dx.doi.org/10.1675/063.036.0305"" target=""_blank"">dx.doi.org/10.1675/063.036.0305</a>","El-Hacen, E.-H.M.; Overdijk, O.; Lok, T.; Olff, H.; Piersma, T.",2013,"Home Range, Habitat Selection, and Foraging Rhythm in Mauritanian Spoonbills (<i>Platalea leucorodia balsaci</i>): A Satellite Tracking Study",,Waterbirds,,,36,3,277-286
"<b>Schmitt, F.G.; Seuront, L.; Souissi, S.</b> (2004). Modélisation stochastique du comportement des copépodes. <i>Revue des Travaux de la Station Marine de Wimereux 2003(26)</i>: 1-6","Schmitt, F.G.; Seuront, L.; Souissi, S.",2004,Modélisation stochastique du comportement des copépodes,,Revue des Travaux de la Station Marine de Wimereux,,,2003,26,1-6
"<b>Bohle, M.</b> (2019). One realm: thinking geoethically and guiding small-scale fisheries? <i>European Journal of Development Research 31(2)</i>: 253-270. <a href=""https://hdl.handle.net/10.1057/s41287-018-0146-3"" target=""_blank"">https://hdl.handle.net/10.1057/s41287-018-0146-3</a>","Bohle, M.",2019,One realm: thinking geoethically and guiding small-scale fisheries?,,European Journal of Development Research,,,31,2,253-270
"<b>Groot, T.</b> (1965). De bevaarbaarheid van de Westerschelde in 1964. Ministerie van Verkeer en Waterstaat. Rijkswaterstaat. Directie Waterhuishouding en Waterbeweging: Vlissingen.  15 + bijlagen pp.","Groot, T.",1965,De bevaarbaarheid van de Westerschelde in 1964,,,Ministerie van Verkeer en Waterstaat. Rijkswaterstaat. Directie Waterhuishouding en Waterbeweging,Vlissingen,,,15 + bijlagen
"<b>Beyst, B.; Duinkerke, J.; Govaerts, A.; Meire, P.; Seys, J. (Ed.)</b> (2005). ScheldeKrant 3. <i>ScheldeKrant</i>, 3. Schelde InformatieCentrum: Middelburg en Oostende.  8 pp.","Beyst, B.; Duinkerke, J.; Govaerts, A.; Meire, P.; Seys, J. (Ed.)",2005,ScheldeKrant 3,,ScheldeKrant,Schelde InformatieCentrum,Middelburg en Oostende,3,,8
