String,Authors,Year,Title,Series,Suffix,DOI
"Karanovic, I. & Brandão, S. N., 2012. Review and phylogeny of the Recent Polycopidae (Ostracoda, Cladocopina), with descriptions of nine new species, one new genus, and one new subgenus from the deep South Atlantic. Marine Biodiversity.","Karanovic, Ivana; Brandão, Simone Nunes",2012,"Review and phylogeny of the Recent Polycopidae (Ostracoda, Cladocopina), with descriptions of nine new species, one new genus, and one new subgenus from the deep South Atlantic",Marine Biodiversity,"42 (3), 329-393",10.1007/s12526-012-0116-5
"Grebmeier, J.; Feder, H.; McRoy, C. (1989). Pelagic-benthic coupling on the shelf of the northern Bering and Chukchi Seas. II. Benthic community structure. <em>Marine Ecology Progress Series.</em> 51: 253-268.","Grebmeier, J.; Feder, H.; McRoy, C.",1989,Pelagic-benthic coupling on the shelf of the northern Bering and Chukchi Seas. II. Benthic community structure,Marine Ecology Progress Series,51: 253-268,10.3354/meps051253
"Karlsson, J.; Kuylenstierna, M.; Åberg, P. (1992). Contribution to the seaweed flora of Sweden: New or otherwise interesting records from the west coast. <em>Acta Phytogeographica Suecica.</em> 78: 49-63.","Karlsson, J.; Kuylenstierna, M.; Åberg, P.",1992,Contribution to the seaweed flora of Sweden: New or otherwise interesting records from the west coast,Acta Phytogeographica Suecica,78: 49-63,
"Wouters, K. (1988). Two interesting new marine interstitial Ostracoda (Crustacea) from the Comoros, with the description of Danipussella gen. nov. <em>Bulletin de L'Institut Royal des Sciences Naturelles de Belgique.</em> 58: 85-93.","Wouters, K.",1988,"Two interesting new marine interstitial Ostracoda (Crustacea) from the Comoros, with the description of Danipussella gen. nov.",Bulletin de L'Institut Royal des Sciences Naturelles de Belgique,58: 85-93,
"Orsi Relini, L.; Belluscio, A.; Ardizzone, G.D. (2004). Tracking the indopacific pelagic Octopos <i>Tremoctopus gracilis</i> in the Mediterranean. <em>Lavoro presentato al 37 Congresso CIESM, Barcellona.</em> 7-11 Giugno 2004.","Orsi Relini, L.; Belluscio, A.; Ardizzone, G.D.",2004,Tracking the indopacific pelagic Octopos <i>Tremoctopus gracilis</i> in the Mediterranean,"Lavoro presentato al 37 Congresso CIESM, Barcellona",7-11 Giugno 2004.,
"Wouters, K.A. (1985). Corophium curvispinum Sars, 1895 in the river Meuse, Belgium. <em>Crustaceana.</em> 48(2): 218-220.","Wouters, K.A.",1985,"Corophium curvispinum Sars, 1895 in the river Meuse, Belgium.",Crustaceana,48(2): 218-220,
"Huys, R. & M.A. Todaro. (1997). Meloriastacus ctenidis gen. et sp. nov.: a primitive interstitial copepod (Harpacticoida, Leptastacidae) from Tuscany. Italian Journal of Zoology, Modena 64(2):181-196.","Huys, R. & M.A. Todaro",1997,"Meloriastacus ctenidis gen. et sp. nov.: a primitive interstitial copepod (Harpacticoida, Leptastacidae) from Tuscany.","Italian Journal of Zoology, Modena",64(2):181-196.,
"Risso, A. (1826-1827). Histoire naturelle des principales productions de l'Europe Méridionale et particulièrement de celles des environs de Nice et des Alpes Maritimes. <em>Paris, F.G. Levrault.</em> 3(XVI): 1-480, 14 pls. [copepods 160-163].","Risso, A.",1826-1827,Histoire naturelle des principales productions de l'Europe Méridionale et particulièrement de celles des environs de Nice et des Alpes Maritimes.,"Paris, F.G. Levrault","3(XVI): 1-480, 14 pls. [copepods 160-163]",10.5962/bhl.title.58984
"Rubio F. & Rolán E. (2014). The family Tornidae in the tropical Southwest Pacific: the genus <i>Anticlimax</i> Pilsbry & McGinty, 1946 (Gastropoda, Truncatelloidea) with the description of 42 new species. <em>Iberus.</em> supplement 6: 1-126.",Rubio F. & Rolán E.,2014,"The family Tornidae in the tropical Southwest Pacific: the genus <i>Anticlimax</i> Pilsbry & McGinty, 1946 (Gastropoda, Truncatelloidea) with the description of 42 new species.",Iberus,supplement 6: 1-126,
"Schultz, H. (2009). Sea Urchins II: worldwide irregular deep water species. <em>Heinke & Peter Schultz Partner, Hemdingen.</em> x+501-849 pp.","Schultz, H.",2009,Sea Urchins II: worldwide irregular deep water species,"Heinke & Peter Schultz Partner, Hemdingen",x+501-849 pp.,
"Verseveldt, J. (1970). A new species of Sinularia (Octocorallia: Alcyonacea) from Madagascar. <em>Israel Journal of Zoology.</em> 19(3): 165-168.","Verseveldt, J.",1970,A new species of Sinularia (Octocorallia: Alcyonacea) from Madagascar,Israel Journal of Zoology,19(3): 165-168,
"Barash, A.; Danin, Z. (1977). Additions to the knowledge of Indo-Pacific Mollusca in the Mediterranean. <em>Conchiglie.</em> 13(5-6): 85-116.","Barash, A.; Danin, Z.",1977,Additions to the knowledge of Indo-Pacific Mollusca in the Mediterranean,Conchiglie,13(5-6): 85-116,
"Heip, C.; Herman, R.; Vincx, M. (1983). Subtidal meiofauna of the North Sea: A review. <em>Biol. Jb. Dodonaea.</em> 51: 116-170.","Heip, C.; Herman, R.; Vincx, M.",1983,Subtidal meiofauna of the North Sea: A review,Biol. Jb. Dodonaea,51: 116-170,
"Mees, J.; Jones, M. B. (1997). The hyperbenthos. <em>Oceanography and marine Biology: an annual review.</em> 35: 221-255.","Mees, J.; Jones, M. B.",1997,The hyperbenthos,Oceanography and marine Biology: an annual review,35: 221-255,
"Wapstra, M.; van Soest, R.W.M. (1987). Sexual reproduction, larval morphology and behaviour in demosponges from the southwest of the Netherlands. <i>In</i>: Vacelet J., Boury-Esnault N. (eds) Taxonomy of Porifera from the N.E. Atlantic and the Mediterranean Sea. <em>NATO Advanced Science Institutes Series G, Ecological Sciences, Springer, Heidelberg.</em> 13: 281-307.","Wapstra, M.; van Soest, R.W.M.",1987,"Sexual reproduction, larval morphology and behaviour in demosponges from the southwest of the Netherlands. <i>In</i>: Vacelet J., Boury-Esnault N. (eds) Taxonomy of Porifera from the N.E. Atlantic and the Mediterranean Sea.","NATO Advanced Science Institutes Series G, Ecological Sciences, Springer, Heidelberg",13: 281-307,
"Madsen, F.J.; Hansen, B. (1994). Echinodermata Holothurioidea. <i>Marine invertebrates of Scandinavia</i>, 9. Scandinavian University Press: Oslo, Norway. ISBN 82-00-03936-6. 143 pp.","Madsen, FJ.; Hansen, B.",1994,Echinodermata Holothurioidea.,Mar Invertebr Scand,9:1–143,
"Boie, S. (1822). Ornithologische Beyträge. <em>Isis von Oken.</em> 3: 768-781; 871-886.","Boie, S.",1822,Ornithologische Beyträge.,Isis von Oken,3: 768-781; 871-886,
"Picard, J. (1958). Notes sur une collection d'hydroïdes provenant des côtes méditerranéennes d'Israël. <em>Bulletin of the sea Fisheries research Station, Israel.</em> 15: 1-3.","Picard, J.",1958,Notes sur une collection d'hydroïdes provenant des côtes méditerranéennes d'Israël,"Bulletin of the sea Fisheries research Station, Israel",15: 1-3,
"Vincx, M.; Furstenberg, J. P. (1989). Namibnema papillata gen. et sp.n. and Axonolaimus deconincki sp.n. (Nematoda, Axonolaimoidea) from marine and estuarine beaches of southern Africa. <em>Zoologica Scripta.</em> 18(2): 231-237.","Vincx, M.; Furstenberg, J. P.",1989,"Namibnema papillata gen. et sp.n. and Axonolaimus deconincki sp.n. (Nematoda, Axonolaimoidea) from marine and estuarine beaches of southern Africa",Zoologica Scripta,18(2): 231-237,10.1111/j.1463-6409.1989.tb00448.x
"Hoffman, L.; Van Heugten, B.; Dekker, H. (2006). Marine Mollusca collected during a journey to the Great Bitter Lake (Suez Canal) and Nile Delta, Egypt. <em>Gloria Maris.</em> 45(1-2): 30-45.","Hoffman, L.; Van Heugten, B.; Dekker, H.",2006,"Marine Mollusca collected during a journey to the Great Bitter Lake (Suez Canal) and Nile Delta, Egypt",Gloria Maris,45(1-2): 30-45,
"Haspeslagh, G. (1972). Superfamilie Ceramonematoidea De Coninck, 1965: een monografische studie. <em>Deel 1, 2 en 3. Diss., Gent, Deel 1 (pp. I-IV, 1-175),  Diss., Gent, Deel 2 (pp. 176-359, 28 tabs.), Diss., Gent, Deel 3 (136pls.).</em>","Haspeslagh, G.",1972,"Superfamilie Ceramonematoidea De Coninck, 1965: een monografische studie","Deel 1, 2 en 3. Diss., Gent, Deel 1 (pp. I-IV, 1-175),  Diss., Gent, Deel 2 (pp. 176-359, 28 tabs.), Diss., Gent, Deel 3 (136pls.)",27-28,
