String,Authors,Year,Title,Book,Series,Publisher,City,Volume,Issue,Pagination,DOI
"Bokn, T.; Lein, T. E. (1978). Long-term changes in fucoid association of the inner Oslofjord, Norway. <em>Norwegian Journal of Botany.</em> 25: 9-14.","Bokn, T.; Lein, T. E.",1978,"Long-term changes in fucoid association of the inner Oslofjord, Norway",,Norwegian Journal of Botany,,,25,,9-14,
"Pérès, J.-M. (1958). Ascidies récoltées sur les côtes méditerranéennes d'Israël. <em>The Bulletin of the Research Council of Israel.</em> 7: 143-150.","Pérès, J.-M.",1958,Ascidies récoltées sur les côtes méditerranéennes d'Israël,,The Bulletin of the Research Council of Israel,,,7,,143-150,
"Turk, T. (2000). The opistobranch mollusks (Cephalaspidea, Saccoglossa, Notaspidea, Anaspidea and Nudibranchia) of the Adriatic Sea with special reference to the Slovenian coast. <em>Annales Series Historia Naturalis.</em> 21: 161-172.","Turk, T.",2000,"The opistobranch mollusks (Cephalaspidea, Saccoglossa, Notaspidea, Anaspidea and Nudibranchia) of the Adriatic Sea with special reference to the Slovenian coast",,Annales Series Historia Naturalis,,,21,,161-172,
"De Smet, W.H.O. (1994). Proales christinae (Rotifera, Proalidae): a new species from the littoral of the North Sea. <em>Belgian Journal of Zoology.</em> 124(1): 21-25.","De Smet, W.H.O.",1994,"Proales christinae (Rotifera, Proalidae): a new species from the littoral of the North Sea",,Belgian Journal of Zoology.,,,124,1,21-25,
"d'Hondt, J. L. (1971). Note sur quelques gastrotriches Chaetonotidae. <em>Bulletin de La Société zoologique de France.</em> 96(2): 215-235; 1971.","d'Hondt, J. L.",1971,Note sur quelques gastrotriches Chaetonotidae.,,Bulletin de La Société zoologique de France,,,96,2,215-235,
"(2010). Status of species and habitats. Indicators for the Scheldt estuary. <em>Commissioned by the Maritime Access Division, project group EcoWaMorSe, Flemish-Dutch Scheldt Commission. VLIZ Information Sheets, 226. Flanders Marine Institute (VLIZ): Oostende.</em> 14 pp.",,2010,"Status of species and habitats. Indicators for the Scheldt estuary. Commissioned by the Maritime Access Division, project group EcoWaMorSe, Flemish-Dutch Scheldt Commission.",, VLIZ Information Sheets,Flanders Marine Institute (VLIZ),Oostende,226,,14,
"Derycke, S.; Backeljau, T.; Vlaeminck, C.; Vierstraete, A.; Vanfleteren, J.; Vincx, M.; Moens, T. (2007). Spatiotemporal analysis of population genetic structure in Geomonhystera disjuncta (Nematoda, Monhysteridae) reveals high levels of molecular diversity. <em>Marine Biology.</em> 151(5): 1799-1812.","Derycke, S.; Backeljau, T.; Vlaeminck, C.; Vierstraete, A.; Vanfleteren, J.; Vincx, M.; Moens, T.",2007,"Spatiotemporal analysis of population genetic structure in Geomonhystera disjuncta (Nematoda, Monhysteridae) reveals high levels of molecular diversity",,Marine Biology,,,151,5,1799-1812,10.1007/s00227-007-0609-0
"Mifsud, C.; Ovalis, P. (2003). A note on new discoveries and the distribution of a few Mollusca from the Eastern Mediterranean. <em>La Conchiglia.</em> 306: 20-25.","Mifsud, C.; Ovalis, P.",2003,A note on new discoveries and the distribution of a few Mollusca from the Eastern Mediterranean,,La Conchiglia,,,306,,20-25,
"Van Soest, R.W.M.; Desqueyroux-Faúndez, R.; Wright, A.D.; König, G.M. (1996). <i>Cymbastela hooperi</i> sp. nov. (Halichondrida: Axinellidae) from the Great Barrier Reef, Australia. <i>In</i>: Willenz, P. (Ed.), Recent Advances in Sponge Biodiversity Inventory and Documentation. <em>Bulletin de l'Institut royal des Sciences naturelles de Belgique. Biologie.</em> 66 (supplement): 103-108.","Van Soest, R.W.M.; Desqueyroux-Faúndez, R.; Wright, A.D.; König, G.M.",1996,"<i>Cymbastela hooperi</i> sp. nov. (Halichondrida: Axinellidae) from the Great Barrier Reef, Australia. <i>In</i>: Willenz, P. (Ed.), Recent Advances in Sponge Biodiversity Inventory and Documentation.",,Bulletin de l’Institut royal des Sciences naturelles de Belgique. Biologie,,,66,supplement,103-108,
"Marcus, Er. (1954). Turbellaria. Reports of the Lund University Expedition 1948-49. <em>Kungl Fysiograf Saellsk Handl NF.</em> 64(13): 115.","Marcus, Er.",1954,Turbellaria. Reports of the Lund University Expedition 1948-49.,,Kungl Fysiograf Saellsk Handl NF,,,64,13,115,
