String,Authors,Year,Title,Book,Series,Publisher,City,Volume,Issue,Pagination
"(1962). Technische Kennis, II. Agon Elsevier: Brussel.",,1962,"Technische Kennis, II",,,Agon Elsevier,Brussel,,,
(1971). Mutation breeding for disease resistance. <i>Panel proceedings series</i>. International Atomic Energy Agency: Vienna.  249 pp.,,1971,Mutation breeding for disease resistance,,Panel proceedings series,International Atomic Energy Agency,Vienna,,,249
"(1973). Fisheries of the United States, 1972. <i>NOAA Current Fishery Statistics</i>(6100). U.S. Department of Commerce. NOAA. National Marine Fisheries Service: Washington D.C.  VI,101 pp.",,1973,"Fisheries of the United States, 1972",,NOAA Current Fishery Statistics,U.S. Department of Commerce. NOAA. National Marine Fisheries Service,Washington D.C.,,6100,"VI,101"
"(1975). Neptunus 22(153). <i>Neptunus (Zeebrugge)</i>, 22(153). Neptunus (vzw): Oostende.  68 pp.",,1975,Neptunus 22(153),,Neptunus (Zeebrugge),Neptunus (vzw),Oostende,22,153,68
(1980). De beveiliging van het Zeescheldebekken tegen stormvloeden op de Noordzee: plan met stormvloedkering te Antwerpen - Alternatieve plannen. Antwerpse Zeediensten: Antwerpen.  28 + appendices pp.,,1980,De beveiliging van het Zeescheldebekken tegen stormvloeden op de Noordzee: plan met stormvloedkering te Antwerpen - Alternatieve plannen,,,Antwerpse Zeediensten,Antwerpen,,,28 + appendices
"(1980). De Groene Band 40. <i>De Groene Band</i>, 40. [S.n.]: [s.l.].",,1980,De Groene Band 40,,De Groene Band,,,40,,
(1982). Chronique d'un ex-mangeur d'écoutes! <i>Neptunus (Zeebrugge) 29(196)</i>: 9-19,,1982,Chronique d'un ex-mangeur d'écoutes!,,Neptunus (Zeebrugge),,,29,196,9-19
"(1982). Lindi Bay. 2009(2). The UK Hydrographic Office, Taunton, Somerset TA1 2DN, United Kingdom: London.  1 pp.",,1982,Lindi Bay,,,"The UK Hydrographic Office, Taunton, Somerset TA1 2DN, United Kingdom",London,,,1
(1984). Ice navigation. <i>PIANC Report</i>. PIANC = AIPCN: Brussel.,,1984,Ice navigation,,PIANC Report,PIANC = AIPCN,Brussel,,,
"(1987). Arrêté royal portant des mesures de gestion des quotas nationaux 1987 = Koninklijk besluit houdende maatregelen tot beheer van de nationale quota 1987. <i>Verzameling der wetten, decreten en besluiten = Recueil des lois, décrets et arrêtés I(339)</i>: 1470-1473",,1987,Arrêté royal portant des mesures de gestion des quotas nationaux 1987 = Koninklijk besluit houdende maatregelen tot beheer van de nationale quota 1987,,"Verzameling der wetten, decreten en besluiten = Recueil des lois, décrets et arrêtés",,,I,339,1470-1473
(1991). Westerschelde Oeververbinding. Toetsontwerp: nota Tracébeschrijving. WOV: Middelburg.  42 + bijlagen pp.,,1991,Westerschelde Oeververbinding. Toetsontwerp: nota Tracébeschrijving,,,WOV,Middelburg,,,42 + bijlagen
"(1992). Neptunus 35(228). <i>Neptunus (Zeebrugge)</i>, 35(228). Neptunus (vzw): Oostende.  68 pp.",,1992,Neptunus 35(228),,Neptunus (Zeebrugge),Neptunus (vzw),Oostende,35,228,68
(1994). North Sea Dover and Calais to Orford and Scheveningen. Edition Number 5 (19th Oct 2006). Admiralty charts and publications: Taunton.  1 map pp.,,1994,North Sea Dover and Calais to Orford and Scheveningen,,,Admiralty charts and publications,Taunton,,,1 map
(1995). Waterstandsmetingen Selenapolder Land van Saeftinge: 2 dec. 1994 t/m 3 jan. 1995. Meetdienst Zeeland: Vlissingen.  [no pag.] pp.,,1995,Waterstandsmetingen Selenapolder Land van Saeftinge: 2 dec. 1994 t/m 3 jan. 1995,,,Meetdienst Zeeland,Vlissingen,,,[no pag.]
"(1996). Impulsprogramma ""Zeewetenschappen"" = Programme d'impulsion ""Sciences marines"" (1992-1996). Diensten voor Programmatie van het Wetenschapsbeleid: Brussel.  54 pp.",,1996,"Impulsprogramma ""Zeewetenschappen"" = Programme d'impulsion ""Sciences marines"" (1992-1996)",,,Diensten voor Programmatie van het Wetenschapsbeleid,Brussel,,,54
"(1996). Zedelgem: topografische kaart. <i>Topografische kaart van België = Carte topographique de Belgique = Topographische Karte von Belgien</i>, 12(Noord). Nationaal Geografisch Instituut (NGI): Brussel.  1 map (1:10,000) pp.",,1996,Zedelgem: topografische kaart,,Topografische kaart van België = Carte topographique de Belgique = Topographische Karte von Belgien,Nationaal Geografisch Instituut (NGI),Brussel,12,Noord,"1 map (1:10,000)"
"(1997). Infrastructuur in het leefmilieu 1997(3). <i>Infrastructuur in het leefmilieu</i>, 3. [S.n.]: [s.l.].",,1997,Infrastructuur in het leefmilieu 1997(3),,Infrastructuur in het leefmilieu,,,3,,
"(1998). Literatuurstudie morfologie Belgische kust: verschilkaart Zuidelijke Noordzee (1994-1976) [MAP], <b><i>in</i></b>: HAECON (1999). <i>Literatuurstudie morfologie Belgische kust: rapport.</i> pp. Map 11",,1998,Literatuurstudie morfologie Belgische kust: verschilkaart Zuidelijke Noordzee (1994-1976) [MAP],Literatuurstudie morfologie Belgische kust: rapport,,,,,,Map 11
