String,Author,Year,Title,Book,Journal,Volume,Issue,Pagination
"Abbott, R. T. (1959). The family Vasidae in the Indo-Pacific. <em>Indo-Pacific Mollusca.</em> 1 (1): 15-32.","Abbott, R. T.",1959,The family Vasidae in the Indo-Pacific,,Indo-Pacific Mollusca,1,1,15-32
"Abbott, R. T. (1960). The genus <i>Strombus</i> in the Indo-Pacific. <em>Indo-pacific Mollusca.</em> 1 (2): 33-146.","Abbott, R. T.",1960,The genus <i>Strombus</i> in the Indo-Pacific,,Indo-pacific Mollusca,1,2,33-146
"Abbott, R. T. (1961). The genus <i>Lambis</i> in the Indo-Pacific. <em>Indo-pacific Mollusca.</em> 1 (3): 147-174.","Abbott, R. T.",1961,The genus <i>Lambis</i> in the Indo-Pacific,,Indo-pacific Mollusca,1,3,147-174
"Abbott, R. T. (1968). The Helmet shells of the world (Cassidae), Part 1. <em>Indo-pacific Mollusca.</em> 2 (9): 7-201.","Abbott, R. T.",1968,"The Helmet shells of the world (Cassidae), Part 1",,Indo-pacific Mollusca,2,9,7-201
"Abd-Elnaby, F. A. (2008). New recorded species of Magelonidae and Maldanidae (Annelida: Polychaeta) from El-Tina Bay, Mediterranean coast of Egypt. <em>Egypt. J. Aquat. Biol. Fish.</em> 12(4): 119-141.","Abd-Elnaby, F. A.",2008,"New recorded species of Magelonidae and Maldanidae (Annelida: Polychaeta) from El-Tina Bay, Mediterranean coast of Egypt",,Egypt. J. Aquat. Biol. Fish.,12,4,119-141
"Abd-Elnaby, F. A. (2009). New records of Polychaetes from the south part of Suez Canal, Egypt. <em>World J. Fish Mar. Sci.</em> 1(1): 7-19.","Abd-Elnaby, F. A.",2009,"New records of Polychaetes from the south part of Suez Canal, Egypt",,World J. Fish Mar. Sci.,1,1,Jul-19
"Abd-Elnaby, F. A.; Gab-Alla, A. A.-F. A. (2007). New records of Pettiboneia and Protodorvillea (Polychaeta: Dorvilleidae) from the eastern harbour of Alexandria. <em>J. Egypt. Ger. Soc. Zool., D Invertebr. Zool. Parasitol.</em> 54D: 159-174.","Abd-Elnaby, F. A.; Gab-Alla, A. A.-F. A.",2007,New records of Pettiboneia and Protodorvillea (Polychaeta: Dorvilleidae) from the eastern harbour of Alexandria,,"J. Egypt. Ger. Soc. Zool., D Invertebr. Zool. Parasitol.",54D,,159-174
"Abd-Elnaby, F. A.; San Martín, Guillermo. 2010. Eusyllinae, Anoplosyllinae, and Exogoninae (Polychaeta: Syllidae) for the Mediterranean Coasts of Egypt, Together the [sic] Description of One New Species. Life Science Journal 7(4): 132-139","Abd-Elnaby, F.A.; San-Martin, G.",2010,"Eusyllinae, Anoplosyllinae, and Exogoninae (Polychaeta: Syllidae) for the Mediterranean Coasts of Egypt, Together the Description of One New Species",,Life Science Journal,7,4,132-139
"Abd-Elnaby, F.A.; San Martín, G. (2011). Syllinae (Syllidae: Polychaeta) from the Mediterranean coast of Egypt with the description of two new species. <em>Mediterranean Marine Science.</em> 12(1): 43-52.","Abd-Elnaby, F.A.; San Martín, G.",2011,Syllinae (Syllidae: Polychaeta) from the Mediterranean coast of Egypt with the description of two new species,,Mediterranean Marine Science,12,1,43-52
"Abé, T.H. (1927). Report of the biological survey of Mutsu Bay. 3. Notes on the protozoan fauna of Mutsu Bay. I. Peridiniales. <em>Science Reports of the Tohoku Imperial University, Series 4.</em> 2: 383-438.","Abé, T.H.",1927,Report of the biological survey of Mutsu Bay. 3. Notes on the protozoan fauna of Mutsu Bay. I. Peridiniales.,,"Science Reports of the Tohoku Imperial University, Series 4",2,,383-438
