String,Authors,Year,Title,Book,Series,Publisher,City,Volume,Issue,Pagination,DOI
"Jaume, D. (1995). Presence of troglobitized Janiridae (Isopoda; Asellota; Janiroidea) in anchialine caves of the Balearic Islands (Mediterranean); description of Trogloianiropsis lloberai n. gen., n. sp. <em>Contributions to Zoology.</em> 65(3): 177-187.","Jaume, D.",1995,"Presence of troglobitized Janiridae (Isopoda; Asellota; Janiroidea) in anchialine caves of the Balearic Islands (Mediterranean); description of Trogloianiropsis lloberai n. gen., n. sp.",,Contributions to Zoology,,,65,3,177-187,
"Fockedey, N.; Mees, J.; Vangheluwe, M.; Verslycke, T.; Janssen, C. R.; Vincx, M. (2005). Temperature and salinity effects on post-marsupial growth of Neomysis integer (Crustacea: Mysidacea). <em>Journal of Experimental Marine Biology and Ecology.</em> 326(1): 27-47.","Fockedey, N.; Mees, J.; Vangheluwe, M.; Verslycke, T.; Janssen, C. R.; Vincx, M.",2005,Temperature and salinity effects on post-marsupial growth of Neomysis integer (Crustacea: Mysidacea),,Journal of Experimental Marine Biology and Ecology,,,326,1,27-47,10.1016/j.jembe.2005.05.005
"De Broyer, C.; Rauschert, M. (1999). Faunal diversity of the benthic amphipods (Crustacea) of the Magellan region as compared to the Antarctic (preliminary results). <em>Scientia Marina.</em> 63(1): 281-293.","De Broyer, C.; Rauschert, M.",1999,Faunal diversity of the benthic amphipods (Crustacea) of the Magellan region as compared to the Antarctic (preliminary results),,Scientia Marina,,,63,1,281-293,
"Decraemer, W. (1985). Revision and phylogenetic systematics of the Desmoscolecida. <em>Hydrobiologia.</em> 120, 259-283.","Decraemer, W.",1985,Revision and phylogenetic systematics of the Desmoscolecida,,Hydrobiologia,,,120,,259-283,
"Wiedenmayer, F. (1989). Demospongiae (Porifera) from northern Bass Strait, southern Australia. <em>Memoirs Museum Victoria.</em> 50(1): 1-242, pls 1-38.","Wiedenmayer, F.",1989,"Demospongiae (Porifera) from northern Bass Strait, southern Australia",,Memoirs Museum Victoria,,,50,1,"1-242, pls 1-38",
"Powell, N. A. (1969). Indo-Pacific Bryozoa new to the Mediterranean coast of Israel. <em>Israel Journal of Zoology.</em> 18: 157-168.","Powell, N. A.",1969,Indo-Pacific Bryozoa new to the Mediterranean coast of Israel,,Israel Journal of Zoology,,,18,,157-168,
"Curini-Galletti, M.; Campus, P. (2007). Boninia neotethydis sp. nov. (Platyhelminthes: Polycladida: Cotylea)—the first lessepsian flatworm. <em>Journal of the Marine Biological Association of the UK.</em> 87(02): 435.","Curini-Galletti, M.; Campus, P.",2007,Boninia neotethydis sp. nov. (Platyhelminthes: Polycladida: Cotylea)—the first lessepsian flatworm,,Journal of the Marine Biological Association of the UK,,,87,2,435-442,10.1017/s0025315407055014
"Krylova, E. M. (2001). Mollusques septibranches de la famille Poromyidae (Bivalvia: Poromyoidea) des régions tropicales du Pacifique occidental = Septibranchiate molluscs of the family Poromyidae (Bivalvia: Poromyoidea) from the tropical western Pacific Ocean. <em>in: Bouchet, P. et al. (Ed.) Tropical deep-sea benthos. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 185: 165-200.","Krylova, E. M.",2001,Mollusques septibranches de la famille Poromyidae (Bivalvia: Poromyoidea) des régions tropicales du Pacifique occidental = Septibranchiate molluscs of the family Poromyidae (Bivalvia: Poromyoidea) from the tropical western Pacific Ocean,Tropical Deep-Sea Benthos 22,"Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",,,185,,165-200,
"Huys, R. & G.M. Gee. (1990). A revision of Thompsonulidae Lang, 1944 (Copepoda: Harpacticoida). <em>Zoological Journal of the Linnean Society.</em> 99(1): 1-49.","Huys, R. & G.M. Gee",1990,"A revision of Thompsonulidae Lang, 1944 (Copepoda: Harpacticoida).",,Zoological Journal of the Linnean Society,,,99,1,1-49,10.1111/j.1096-3642.1990.tb01221.x
"Wood-Mason, J.; Alcock, A. (1891). Natural history notes from H.M. Indian marine survey steamer 'Investigator', Commander R.F. Hoskyn, R.N., commanding. No. 21. Note on the results of the last season's deep-sea dredging [concl.]. <em>Annals and Magazine of Natural History.</em> (6)34: 258-272.","Wood-Mason, J.; Alcock, A.",1891,"Natural history notes from H.M. Indian marine survey steamer 'Investigator', Commander R.F. Hoskyn, R.N., commanding. No. 21. Note on the results of the last season's deep-sea dredging [concl.]",,Annals and Magazine of Natural History,,,6,34,258-272,
"Kerckhof, F. (2001). Het mosdiertje <i>Bugula simplex</i> Hincks, 1886 (Bryozoa, Cheilostomatida) nieuw voor de Belgische fauna [The bryozoan <i>Bugula simplex</i> Hincks, 1886 (Bryozoa, Cheilostomatida) new species for the Belgian fauna]. <em>De Strandvlo.</em> 21(1): 36-39.","Kerckhof, F.",2001,"Het mosdiertje <i>Bugula simplex</i> Hincks, 1886 (Bryozoa, Cheilostomatida) nieuw voor de Belgische fauna [The bryozoan <i>Bugula simplex</i> Hincks, 1886 (Bryozoa, Cheilostomatida) new species for the Belgian fauna]",,De Strandvlo,,,21,1,36-39,
"Derycke, S.; Fonseca, G.; Vierstraete, A.; Vanfleteren, J.; Vincx, M.; Moens, T. (2008). Disentangling taxonomy within the Rhabditis (Pellioditis) marina (Nematoda, Rhabditidae) species complex using molecular and morhological tools. <em>Zoological Journal of the Linnean Society.</em> 152(1): 1-15.","Derycke, S.; Fonseca, G.; Vierstraete, A.; Vanfleteren, J.; Vincx, M.; Moens, T.",2008,"Disentangling taxonomy within the Rhabditis (Pellioditis) marina (Nematoda, Rhabditidae) species complex using molecular and morhological tools",,Zoological Journal of the Linnean Society,,,152,1,1-15,10.1111/j.1096-3642.2007.00365.x
"Heip, C.; Vincx, M.; Vranken, G. (1985). The ecology of marine nematodes. <em>Oceanogr. Mar. Biol. Ann. Rev. 23: 399-489 In: Oceanography and Marine Biology: An Annual Review. Aberdeen University Press/Allen & Unwin: Aberdeen. ISSN 0078-3218.</em>","Heip, C.; Vincx, M.; Vranken, G.",1985,The ecology of marine nematodes,,Oceanogr. Mar. Biol. Ann. Rev. 23: 399-489 In: Oceanography and Marine Biology: An Annual Review,Aberdeen University Press/Allen & Unwin,Aberdeen,23,,399-489,
"Artois, T. J.; Schockaert, E. R. (1999). Interstitial fauna of the Galapagos: Porrocystidinae (Platyhelminthes Polycystididae). <em>Tropical Zoology.</em> 12, 309-324.","Artois, T. J.; Schockaert, E. R.",1999,Interstitial fauna of the Galapagos: Porrocystidinae (Platyhelminthes Polycystididae),,Tropical Zoology,,,12,,309-324,10.1080/03946975.1999.10539397
"Houart, R.; Lan, T. C. (2001). Description of <i>Scabrotrophon chunfui</i> n. sp. (Gastropoda: Muricidae) from Northeast Taiwan and comments on <i>Nipponotrophon</i> Kuroda & Habe, 1971 and <i>Scabrotrophon</i> McLean, 1996. <em>Novapex.</em> 2 (2): 37-42.","Houart, R.; Lan, T. C.",2001,"Description of <i>Scabrotrophon chunfui</i> n. sp. (Gastropoda: Muricidae) from Northeast Taiwan and comments on <i>Nipponotrophon</i> Kuroda & Habe, 1971 and <i>Scabrotrophon</i> McLean, 1996",,Novapex,,,2,2,37-42,
