String,Authors,Year,Title,Book,Series,Publisher,City,Volume,Issue,Pagination
"De Troch, M., F. Fiers & M. Vincx. (2001). Alpha and beta diversity of harpacticoid copepods in a tropical seagrass bed: the relation between diversity and species' range size distribution. <em>Marine Ecology Progress Series.</em> 215: 225-236.","De Troch, M., F. Fiers & M. Vincx",2001,Alpha and beta diversity of harpacticoid copepods in a tropical seagrass bed: the relation between diversity and species' range size distribution,,Marine Ecology Progress Series,,,215,,225-236
"Gerdes, D.; Vanhove, S.; Vincx, M.; Lee, H. (2001). Meiofauna response to iceberg disturbance on the Antarctic continental shelf at Kapp Norvegia (Weddell Sea). <em>Polar Biology.</em> 24(12): 926-933.","Gerdes, D.; Vanhove, S.; Vincx, M.; Lee, H.",2001,Meiofauna response to iceberg disturbance on the Antarctic continental shelf at Kapp Norvegia (Weddell Sea),,Polar Biology,,,24,12,926-933
"Steyaert, M.; Herman, P.; Moens, T.; Widdows, J.; Vincx, M. (2001). Tidal migration of nematodes on an estuarine tidal flat (the Molenplaat, Schelde Estuary, SW Netherlands). <em>Marine Ecology Progress Series.</em> 224: 299-304.","Steyaert, M.; Herman, P.; Moens, T.; Widdows, J.; Vincx, M.",2001,"Tidal migration of nematodes on an estuarine tidal flat (the Molenplaat, Schelde Estuary, SW Netherlands)",,Marine Ecology Progress Series,,,224,,299-304
"Huys, R. & G. Boxshall. (2001). An appreciation of the contribution of Arthur Humes to copepod systematics. <em>Journal of Crustacean Biology.</em> 21(1): 13-27.","Huys, R. & G. Boxshall",2001,An appreciation of the contribution of Arthur Humes to copepod systematics.,,Journal of Crustacean Biology,,,21,1,13-27
"Golani, D.; Fine, M. (2002). On the occurrence of <i>Hippocampus fuscus</i> in the eastern Mediterranean. <em>Journal of Fish Biology.</em> 60(3): 764-766.","Golani, D.; Fine, M.",2002,On the occurrence of <i>Hippocampus fuscus</i> in the eastern Mediterranean,,Journal of Fish Biology,,,60,3,764-766
"Corbera, J. (2002). Amphi-Atlantic distribution of the Mancocumatinae (Cumacea: Bodotriidae), with description of a new genus dwelling in marine lava caves of Tenerife (Canary Islands). <em>Zoological Journal of the Linnean Society.</em> 134(4), 453-461.","Corbera, J.",2002,"Amphi-Atlantic distribution of the Mancocumatinae (Cumacea: Bodotriidae), with description of a new genus dwelling in marine lava caves of Tenerife (Canary Islands)",,Zoological Journal of the Linnean Society,,,134,4,453-461
"Moens, T.; Luyten, C.; Middelburg, J.; Herman, P.; Vincx, M. (2002). Tracing organic matter sources of estuarine tidal flat nematodes with stable carbon isotopes. <em>Marine Ecology Progress Series.</em> 234: 127-137.","Moens, T.; Luyten, C.; Middelburg, J.; Herman, P.; Vincx, M.",2002,Tracing organic matter sources of estuarine tidal flat nematodes with stable carbon isotopes,,Marine Ecology Progress Series,,,234,,127-137
"Goulletquer, P.; Bachelet, G.; Sauriau, P. G.; Noel, P. (2002). Open Atlantic coast of Europe a century of introduced species into French waters. <em>In: Leppäkoski E, Gollasch S, Olenin S (eds) Invasive aquatic species of Europe: distribution, impacts and management.</em> Kluwer, Dordrecht, pp 276-290.","Goulletquer, P.; Bachelet, G.; Sauriau, P. G.; Noel, P.",2002,Open Atlantic coast of Europe a century of introduced species into French waters.,"Invasive aquatic species of Europe: distribution, impacts and management",,Kluwer,Dordrecht,,,276-290
"Böttger-Schnack, R. & R. Huys. (2002). Taxonomy of Oncaeidae (Copepoda, Poecilostomatoida) from the Red Sea. III. Morphology and phylogenetic position of Oncaea subtilis Giesbrecht, 1892. <em>in: Lopes, R.M., J.W. Reid & C.E.F. Rocha (eds.). Hydrobiologia 156, Developments in Hydrobiology 156, Proceedings of the Seventh International Conference on Copepoda, held in Curitiba, Brazil, 25-31 July 1999.</em> 453/454:467-481.","Böttger-Schnack, R. & R. Huys",2002,"Taxonomy of Oncaeidae (Copepoda, Poecilostomatoida) from the Red Sea. III. Morphology and phylogenetic position of Oncaea subtilis Giesbrecht, 1892.",,"in: Lopes, R.M., J.W. Reid & C.E.F. Rocha (eds.). Hydrobiologia 156, Developments in Hydrobiology 156, Proceedings of the Seventh International Conference on Copepoda, held in Curitiba, Brazil, 25-31 July 1999.",,,453/454,,467-481
"Vanaverbeke, J.; Gheskiere, T.; Steyaert, M.; Vincx, M. (2002). Nematode assemblages from subtidal sandbanks in the Southern Bight of the North Sea: effect of small sedimentological differences. <em>Journal of Sea Research.</em> 48(3): 197-207.","Vanaverbeke, J.; Gheskiere, T.; Steyaert, M.; Vincx, M.",2002,Nematode assemblages from subtidal sandbanks in the Southern Bight of the North Sea: effect of small sedimentological differences,,Journal of Sea Research,,,48,3,197-207
